symbol,date,price
LTC,Jan 2000,39.81
LTC,Feb 2000,36.35
LTC,Mar 2000,43.22
LTC,Apr 2000,28.37
LTC,May 2000,25.45
LTC,Jun 2000,32.54
LTC,Jul 2000,28.4
LTC,Aug 2000,28.4
LTC,Sep 2000,24.53
LTC,Oct 2000,28.02
LTC,Nov 2000,23.34
LTC,Dec 2000,17.65
LTC,Jan 2001,24.84
LTC,Feb 2001,24
LTC,Mar 2001,22.25
LTC,Apr 2001,27.56
LTC,May 2001,28.14
LTC,Jun 2001,29.7
LTC,Jul 2001,26.93
LTC,Aug 2001,23.21
LTC,Sep 2001,20.82
LTC,Oct 2001,23.65
LTC,Nov 2001,26.12
LTC,Dec 2001,26.95
LTC,Jan 2002,25.92
LTC,Feb 2002,23.73
LTC,Mar 2002,24.53
LTC,Apr 2002,21.26
LTC,May 2002,20.71
LTC,Jun 2002,22.25
LTC,Jul 2002,19.52
LTC,Aug 2002,19.97
LTC,Sep 2002,17.79
LTC,Oct 2002,21.75
LTC,Nov 2002,23.46
LTC,Dec 2002,21.03
LTC,Jan 2003,19.31
LTC,Feb 2003,19.34
LTC,Mar 2003,19.76
LTC,Apr 2003,20.87
LTC,May 2003,20.09
LTC,Jun 2003,20.93
LTC,Jul 2003,21.56
LTC,Aug 2003,21.65
LTC,Sep 2003,22.69
LTC,Oct 2003,21.45
LTC,Nov 2003,21.1
LTC,Dec 2003,22.46
LTC,Jan 2004,22.69
LTC,Feb 2004,21.77
LTC,Mar 2004,20.46
LTC,Apr 2004,21.45
LTC,May 2004,21.53
LTC,Jun 2004,23.44
LTC,Jul 2004,23.38
LTC,Aug 2004,22.47
LTC,Sep 2004,22.76
LTC,Oct 2004,23.02
LTC,Nov 2004,24.6
LTC,Dec 2004,24.52
LTC,Jan 2005,24.11
LTC,Feb 2005,23.15
LTC,Mar 2005,22.24
LTC,Apr 2005,23.28
LTC,May 2005,23.82
LTC,Jun 2005,22.93
LTC,Jul 2005,23.64
LTC,Aug 2005,25.35
LTC,Sep 2005,23.83
LTC,Oct 2005,23.8
LTC,Nov 2005,25.71
LTC,Dec 2005,24.29
LTC,Jan 2006,26.14
LTC,Feb 2006,25.04
LTC,Mar 2006,25.36
LTC,Apr 2006,22.5
LTC,May 2006,21.19
LTC,Jun 2006,21.8
LTC,Jul 2006,22.51
LTC,Aug 2006,24.13
LTC,Sep 2006,25.68
LTC,Oct 2006,26.96
LTC,Nov 2006,27.66
LTC,Dec 2006,28.13
LTC,Jan 2007,29.07
LTC,Feb 2007,26.63
LTC,Mar 2007,26.35
LTC,Apr 2007,28.3
LTC,May 2007,29.11
LTC,Jun 2007,27.95
LTC,Jul 2007,27.5
LTC,Aug 2007,27.34
LTC,Sep 2007,28.04
LTC,Oct 2007,35.03
LTC,Nov 2007,32.09
LTC,Dec 2007,34
LTC,Jan 2008,31.13
LTC,Feb 2008,26.07
LTC,Mar 2008,27.21
LTC,Apr 2008,27.34
LTC,May 2008,27.25
LTC,Jun 2008,26.47
LTC,Jul 2008,24.75
LTC,Aug 2008,26.36
LTC,Sep 2008,25.78
LTC,Oct 2008,21.57
LTC,Nov 2008,19.66
LTC,Dec 2008,18.91
LTC,Jan 2009,16.63
LTC,Feb 2009,15.81
LTC,Mar 2009,17.99
LTC,Apr 2009,19.84
LTC,May 2009,20.59
LTC,Jun 2009,23.42
LTC,Jul 2009,23.18
LTC,Aug 2009,24.43
LTC,Sep 2009,25.49
LTC,Oct 2009,27.48
LTC,Nov 2009,29.27
LTC,Dec 2009,30.34
LTC,Jan 2010,28.05
LTC,Feb 2010,28.67
LTC,Mar 2010,28.8
Ripple,Jan 2000,64.56
Ripple,Feb 2000,68.87
Ripple,Mar 2000,67
Ripple,Apr 2000,55.19
Ripple,May 2000,48.31
Ripple,Jun 2000,36.31
Ripple,Jul 2000,30.12
Ripple,Aug 2000,41.5
Ripple,Sep 2000,38.44
Ripple,Oct 2000,36.62
Ripple,Nov 2000,24.69
Ripple,Dec 2000,15.56
Ripple,Jan 2001,17.31
Ripple,Feb 2001,10.19
